文件ID,CV质量10分，音声10分（20分）,DL号|社团|作者,FB,UC,修正分，bug过多，挤牙膏，无意义刷量强行延长游玩时间+反作弊,内容cg丰富度（15分）,创建时间,剧情有无代入感10分，实用度如何，20分好不好冲？（30分）,备注,夸克,封面,引擎,排雷 评价,搜索,攻略,更新日志,最后修改时间,游戏名大小,游戏性|玩法，好不好玩？（15分）,版本及更新时间等,画风立绘建模如何？10分。动态？10分。cg质量？10分（30分）,百度,类型,视频,评级,"评级（成品级别）评分105- X          90-100 SSS           75-85 SS             60-70 S         45-55A     25-40B ",迅雷,预览
BAYJACT021,,,,1,,,2026年2月16日 02:23,,,,,,内容不够多，游戏性不够强，cg还可以,【日式/ACT/动态】魔女的地牢 魔女のタンジョン Witchs Dungeon v1.3.11 机翻汉化版 【280M】,,,2026年2月16日 19:32,魔女的地牢 魔女のタンジョン Witchs Dungeon v1.3.11 机翻汉化版 【280M】,,V1.311,,"1 https://pan.baidu.com/s/1RdMyXUKxiC2CiFLUKatF9A?pwd=BAYJ ",【日式/ACT/动态】,未开始,,S,1,
BAYJACT022,10,"サークル：FT少女
DLsite ：https://www.dlsite.com/maniax/circle/profile/=/maker_id/RG54260.html
CIEN：https://ci-en.dlsite.com/creator/16247
Twitter：https://x.com/Detective_ye
Pixiv：https://www.pixiv.net/users/38416908",,https://drive.uc.cn/s/4a0b2a5ef4d04?public=1,,10,2026年2月16日 02:23,25,,,,,前作是那个女装侦探王语嫣，一如既往游戏性和操作差，但剧情cg很顶,【ACT/官中/伪娘】女体化装置 女体化设备 女体化デバイス FeminizationDevice_Ver.0.6 【920M】,,"更新信息
• 2025年02月04日BUG修复内容添加版本0.6新增物品，鼠标光标变化，敌人死亡复苏动画，增加传递同伴的能力
• 2025年1月14日BUG修复内容添加版本0.5 新增魔戒远征 加入伙伴系统 交换兔女郎声望换金版智能手机界面修复
• 2025年1月4日BUG修复内容添加版本0.4兔女郎/网丝袜/穿刺子弹增加了绳索修正地图修正功能，加载最新版本时无法穿透敌人
• 2024年12月20日BUG修复内容添加版本0.3“解放城镇” 结局新增红色区域速度抑制跳过获取新物品 新增“停战协议”
游戏介绍
在这个游戏中，玩家将扮演男娘战姬，挑战与魔界生物的战斗，执行各种任务以恢复人类的和平。
20XX 年，全长 300 米的巨大淫兽“巨塔”从海中登陆人类城市，全身释放出强烈的毒性淫气，污染了空气。
淫毒导致男性陷入发情状态，失去理智开始施暴。在无防御手段的情况下，一年后，“战姬协会”成立。
该组织的女性战士们身着战斗服得到强化，对抗淫兽。她们讨伐了众多淫兽，夺回了城市。",2026年3月28日 01:15,女体化装置 女体化设备 女体化デバイス FeminizationDevice_Ver.0.6 【919M】,10,Ver0.2 2024/12/13   Ver.0.6  2025/2/4,25,https://pan.baidu.com/s/1dOAxTVbyxEc11KyS-dOQxg?pwd=kedp,【ACT/官中/伪娘】,未开始,SS精品，绝对值得品鉴,SS 80,https://pan.xunlei.com/s/VOokC-b0nv8hNgI0nu6KxoAgA1?pwd=vzsy#,https://pic.moebox.io/album/ACT022.XDn5N
BAYJACT023,5,,,,,10,2026年2月16日 02:23,15,,,,,"操纵女主露出,体验当一把痴女，很变态，但可惜没有上垒。神作雏形。",【ACT/中文CV/露出】爆乳妹子在裸体大衣里露出 为了不被发现穿着裸大衣的塞雷卡 官方中文版【1.7G】,,,2026年2月19日 02:37,爆R妹子在裸体大衣里露出 为了不被发现穿着L大衣的塞雷卡 官方中文版【1.7G】,15,,20,1  https://pan.baidu.com/s/1PZOvBJaVz7qKDnqBIUap3w?pwd=BAYJ 提取码: BAYJ,【ACT/中文CV/露出】,未开始,S总体中规中矩，在某方面能达到精品甚至神作，值得一试,S 65,,
BAYJACT024,,,,1,,,2026年2月16日 02:23,,,,,,手感很怪，远程打不中怪。不过画廊战斗h和cg都挺赞的。,【日式3D/ACT/动态/H黑魂】 淫魔天堂 H黑魂 Succubus heaven サキュバスヘヴン DL官方中文版+全回想 【3.20G】,,,2026年2月16日 19:32,银魔天堂 I-I黑魂 Succubus heaven サキュバスヘヴン DL官方中文版+全回想 【3.20G】,,,,1 https://pan.baidu.com/s/1WSUgkxmMEDCU7RxM-tfr3Q?pwd=BAYJ 提取码: BAYJ,"【日式3D/ACT/动态/H黑魂】 ",未开始,,S,1,
BAYJACT025,,,,1,,,2026年2月16日 02:23,,,,,,玩法比较特别，手感差,【日式3D/动态/新作】 诶！！潜入搜查官的秘密任务 エッッッッ!!な潜入捜査官 v1.0.1 官方中文版 【4.10G】,,,2026年2月16日 19:32,诶！！潜入搜查官的秘密任务 エッッッッ!!な潜入捜査官 v1.0.1 官方中文版 【4.10G】,,45745,,1 https://pan.baidu.com/s/1y2MOwHx4TxKCRIq2jQxtcw?pwd=BAYJ 提取码: BAYJ,"【日式3D/动态/新作】 ",未开始,,A,1,
BAYJACT027,,,,1,,,2026年2月16日 02:23,,,,,,双人小游戏，快和你的朋友一起双排吧。Cg做的不错，就是内容少,【日式ACT/新作】 姐姐，别追我！～与魅魔的捉迷藏！ お姉ちゃん、追いかけないで!～サキュバスとの鬼ごっこ! SuccubusChase_v1.0官中版 【520M】,,,2026年2月16日 19:32,姐姐，别追我！～与魅魔的捉迷藏！ お姉ちゃん、追いかけないで!～サキュバスとの鬼ごっこ! SuccubusChase_v1.0官中版 【520M】,,,,"1 https://pan.baidu.com/s/1PbhSHhULl0tN_zUov6xkqA?pwd=bayj 提取码:bayj ","【日式ACT/新作】 ",未开始,,A,1,
BAYJACT028,,,,1,,,2026年2月16日 02:23,,画廊里按照锤子，魔法使，植物，史莱姆，锤子，魔法使的顺序浏览可解锁全cg,,,,玩起来很难受，但cg和战斗h不错。如果没有全cg，看备注。,【日式ACT/新作/扶她/动态】淫魔王的戒指～艾琳外传～ 淫魔王のリング～アイリーン外伝～ Ver1.02 生肉版+全cg+设定集 【1.50G】,,,2026年2月18日 01:04,银魔王的戒指～艾琳外传～ 银魔王のリング～アイリーン外伝～ Ver1.02 生肉版+全cg+设定集 【1.5G】,,,,1,【日式ACT/新作/扶她/动态】,未开始,,A,1,
BAYJACT029,,,,,,,2026年2月16日 02:23,,,,,,h版合金弹头,【ACT/日文/生肉/动态/CV】METAL BREAKER H版合金弹头：金属破碎机【1.32G】,,,2026年2月16日 19:32,METAL BREAKER H版合金弹头：金属破碎机【1.32G】,,,,"https://pan.baidu.com/s/1_lMJiV5aNln336uIjpRL8Q?pwd=BAYJ ",【ACT/日文/生肉/动态/CV】,未开始,,S,,
BAYJACT030,,,,,,,2026年2月16日 02:23,,按`或~（Esc下面，数字1旁边那个）打开控制面板，输入 load save/mysave ，按回车进入画廊,,,,游戏性不错，类似黑暗欺骗。,【ACT/动态/PC】H版黑暗欺骗 Nakara 0.6 Trial (Patreon) v0.6+全cg存档 【475M】,,更新ACT153,2026年2月16日 19:32,H版黑暗欺骗 Nakara 0.6 Trial (Patreon) v0.6+全cg存档 【475M】,,,,1,【ACT/动态/PC】,未开始,,S（SS）,,
BAYJACT031,,,,,,,2026年2月16日 02:23,,,,,,,【ACT中文/全动态/双端】 罪恶势力 殖民地的希望 V0.60 PC+安卓官中版 【3.3G】,,,2026年2月16日 19:32,罪恶势力 殖民地的希望 V0.60 PC+安卓官中版 【3.3G】,,,,1,"【ACT中文/全动态/双端】 ",未开始,,A,,
BAYJACT032,,【もぐらソフト】,,,,,2026年2月16日 02:23,,,,,,制作的有点草率，战斗系统太简陋了，不过h部分还是合格的，画面挺精细，cg细节清晰，就是内容少了点,【日式ACT/动态/新作】 退魔巫女稻芽 退魔巫女イナメ AI汉化版附全cg 【1.20G】,【もぐらソフト】,,2026年2月16日 19:32,退魔巫女稻芽 退魔巫女イナメ AI汉化版附全cg 【1.20G】,,,,1,"【日式ACT/动态/新作】 ",未开始,,S,,
BAYJACT033,10,,"KLW, LW, XH",https://drive.uc.cn/s/903203a8c2964?public=1,,15,2026年2月16日 02:23,25,,,,,,【神作ACT/PC/像素风/猎奇】哥特少女勇闯恶魔城2 シニシスタ2 SiNiSistar2 V1.21步兵MOD+全CG通关存档+修改器【3G】,,"V1.21更新2025年12月21日
BUG修复
- 修复菜单界面在特定条件下
卡死的bug- 修正驼背人在特定条件下
无法说话的bug- 新增缺少穿紧身裤的照片",2026年3月29日 20:56,哥特少女勇闯恶魔城2 シニシスタ2 SiNiSistar2 V1.21步兵MOD+全CG通关存档【3G】,15,"v1.20更新
・新增主人公新服装“Lelia_Slit”
我们制作了一套带有极深开衩的服装，可谓具备所谓“僧侣”属性角色的标志性符号。
在开始新游戏时，或通过修道院书架的设定界面进入角色设定画面，选择“角色立绘”并设为“Lelia_Slit”即可更换。
・稍涉及内部技术说明：我们已在包含主人公的所有动画中添加了前襟部件“skirt2”。
对于制作Mod的玩家，使用skirt2或许能让原本难以基于默认迷你裙造型制作的服装变得更易实现。
・延长城镇西南道路并新增敌人
这是一个小型地下城式区域，包含杂兵、中头目和头目。
若已获得贯通箭即可通行，因此敌人强度并不算高。
此前文章提及的自伤道具即位于此处。
・在城镇小巷中新增小型事件
当主人公处于某种异常状态时经过该镇民面前，即可触发此小型事件。
・为醉酒事件追加额外动画
不知为何，每次主要更新都会增加动画的醉汉角色。
・新增韩语语言支持
ｼｽﾀｦｲｼﾞﾒﾇﾝﾃﾞ……
・实装语言Mod功能
游戏内文本样例也已一并收录。
・为Mod读取位置新增与存档数据相同路径（Windows系统）
关于语言Mod及Mod读取位置，上一篇文章已有解说，如需使用请参阅该文。
Mac版原本Mod文件夹即位于存档数据相同路径，此次并无变动。
・其他还包括轻微错误修复，以及为Steam版全年龄适配所做的准备等。
以上为更新内容。
接下来是关于音声作品的介绍。
・音声作品《清廉的修女·哈妮娅的治疗与苦难》
【シニシスタ２音声作品】清廉的修女·哈妮娅的治疗与苦难
https://dlsharing.com/maniax/announce/=/product_id/RJ01529502.html
今日起开始预告刊登，预计约一周后的25日正式发布。
・我本人并无制作音声作品的能力，此次是受到DLsite的企划委托而推进完成的作品。
内容是以主人公视角及部分敌人视角聆听哈妮娅声音的广播剧，基本基于原作事件场景进行想象创作。
包含所谓的“治疗”行为及部分凌辱场景。
・剧本由4D眼镜老师负责，插图由Moji老师绘制。
配音当然与游戏相同，由天知遥老师担任。
・各位老师均贡献了出色的工作成果，我只是稍作监修而已。
・由于原游戏是台词较少的动作游戏，此次音声作品篇幅并不长，因此定价也相对优惠。
・作为附赠内容，在Moji老师的热情创作下，我们还额外收录了6种表情差分，数量超出最初预期，相信会更具性价比。
这是一款以“被敌人打倒时的绝望感、对毁灭·死亡的憧憬、被虐的官能”为主题的简单动作角色扮演游戏。由于包含暴力场景和恐怖表达，因此不适合胆小的人。
2025年10月08日
BUG修复
・修复Unity安全漏洞
・修复Mod文件夹缺失时可能导致游戏卡顿的问题
2025年07月18日
新增BUG修复内容
・追加子事件
・在玩家形象修改功能中新增可将主角染成茶发的图像包
・修复若干轻微问题
其他
2025年05月24日
BUG修复
・画廊新增全裸手铐与BOSS束缚动画
・调整MOD列表与画廊UI
・其他轻微问题修正",25,https://pan.baidu.com/s/1sDIowhuAwMhSkt1UYE28xQ?pwd=pfas,【神作ACT/PC/像素风】,未开始,SSS神作，夯爆，必吃,SSS 90,"https://pan.xunlei.com/s/VOhA7y8y2jVLwfxpcPfaYOhZA1?pwd=9g97#
",https://pic.moebox.io/album/ACT033.XOKeU
