文件ID,搜索,排雷 评价,备注,更新日志,预览,百度,迅雷,UC,FB,版本及更新时间等,评级,"评级（成品级别）评分105- X          90-100 SSS           75-85 SS             60-70 S         45-55A     25-40B ",剧情有无代入感10分，实用度如何，20分好不好冲？（30分）,画风立绘建模如何？10分。动态？10分。cg质量？10分（30分）,CV质量10分，音声10分（20分）,游戏性|玩法，好不好玩？（15分）,内容cg丰富度（15分）,修正分，bug过多，挤牙膏，无意义刷量强行延长游玩时间+反作弊,封面,攻略,DL号|社团|作者,最后修改时间,创建时间,视频,类型,游戏名大小
BAYJSLG368,[PC/RPG/新作]幻想战略战术模拟游戏 背叛者 ファンタジー戦略戦術シミュレーション ディザーターズ(Deserter's) Ver1.03 [2G],,,"★ 开发九年，所有工序均为手工制作（未使用AI）
曾于功能手机与智能手机时代累计销量超过20万份的奇幻战略战术模拟游戏最新作！
※ 虽已改编为18禁游戏，但官方网站也在发布全年龄化补丁。

游戏本体采用自主研发的游戏引擎进行编程开发。
原画由前职业动画师担纲。
超过100张插图全部搭载了基于Live2D的精准动画。

游戏本篇是硬核且正统的奇幻战略战术模拟游戏。
可选择登场人物中任何身份的角色作为主人公，准备了所有可能的选择项，是一款自由度极高的游戏。

◆ 详细规格
・画面尺寸【1280×720】
・全屏主要CG【100张以上】（含促销活动追加部分）
・可攻略角色【33+α人】（所有角色均含多阶段盔甲破坏H场景）
・搭载Live2D精准【动画】
・插图素材【25,000张】以上（含动画用素材）
・文本【300,000字】以上

★ 仅限现在！早期购入特典&销量达成促销活动！
作为早期购入特典，将赠送新增角色（含H场景）。
最大有效期为一年，若在此之前未能达成销量目标则活动结束。

1）期间限定：从发售至首发促销结束（4/10）为止，赠送阿丽亚娜
2）期间限定：从发售至春季促销结束（5/13）为止，赠送艾丝黛尔
3）若销量达成10000套，永久赠送普莉希拉
4）虽认为不太可能，但若销量达成30000套，永久赠送艾莉泽

※ 因手动更新，销量数字可能存在若干浮动
※ 先行购买的用户，后续特典也可通过免费升级获得
※ 除早期购入者外，也将发放给Ci-en平台的长期支持者
※ 在首发促销与春季促销切换期间，会有2-3天左右恢复原价，但角色赠送仍在持续

所有特典角色将以专用「密钥文件」形式赠出。
只要持有该密钥文件，即使进行版本升级或重新下载，角色也不会消失，将永久在游戏中登场。
强烈建议妥善保管密钥文件以防丢失。

※ 未来不会作为单独补丁等进行有偿销售

★ 屈辱！
H情景几乎全是『屈辱』！
捕捉高傲的女骑士与公主，进行调教，极尽凌辱之能事！

※ 不含流血等过度表现
※ 虽非全动画，但H部位会精准动态呈现

★ 游戏部分硬核！
曾于功能手机・智能手机时代风靡一时的战略战术SLG最新作！
并且已改编为18禁游戏。

谁都可以选为主人公！
选择喜欢的角色开始游戏，将喜欢的角色纳为同伴或部下，然后背叛…凭借自由的指挥与权谋术数，在这个世界中生存下去吧。
除非有人完成统一，否则即使败北或灭亡也不会游戏结束，可以无数次复活、卷土重来。

战斗是实时大规模 combat！
最大100对100，实时展开！
搭载了暂停功能以及交由电脑负责的委任功能。

各自的思绪，各自的战斗，各自的生活方式…
所有人物都在思考，在这个世界中生存。
存在玩家数量的世界，游戏进行多少次就会构筑多少个平行世界。
请在这个世界中，创造出只属于你的世界线。

★ 仅追求H事件！（最终boss为额外要素）
也可以无视本篇，仅以解锁H事件为目标，并完成全收集。
也可以将心仪的角色设为主人公，主动去被捕获（自由度MAX）。
只是因为有100个场景，全收集并非易事。

由于本篇故事与H事件相互分离，最终boss作为额外要素存在，并非必须攻略的对象。
因此，他可能会作为极其强大、难以逾越的高墙阻挡在前。
光是发现并让其登场就已很了不起，若能打倒还会有更厉害的事，再往前还有…隐藏要素层出不穷。
再次重申，即使不发现最终boss也能完成H事件全收集。
若您有兴趣，不妨将其作为一种乐趣去追寻。

★ 支持及其他（附加功能等）
▼ 用户支持
关于bug信息及故障支持，请通过以下链接联系我们。

▼ 推荐注册DLsite.com用户
考虑到可能会发布包含bug修复等的修正版供重新下载。
强烈建议您在购买前进行用户注册。

▼ 版本升级通知功能
原本想引入像steam那样的自动版本升级功能，但因个人技术不足未能实现，因此至少导入了在新版发布时通知该信息的功能。
该信息会显示在标题画面，若看到显示，请进行版本升级即可更新至最新版。",https://pic.moebox.io/album/SLG368.XuQuC,,https://pan.xunlei.com/s/VOnmNeR8UCOolsw-CCnXA63_A1?pwd=xdau#,https://drive.uc.cn/s/d93d8adb1d864?public=1,"KLW, LW, XH",https://pan.baidu.com/s/1bjup89njmM2Nt30ftau_gQ?pwd=qfnn,,,,,,,,,,,,2026年3月29日 01:42,2026年3月15日 02:06,未开始,[PC/RPG/新作],幻想战略战术模拟游戏 背叛者 ファンタジー戦略戦術シミュレーション ディザーターズ(Deserter's) Ver1.03 [2G]
BAYJSLG371,【PC+mp4/3D/动态/新作】Re:MRM-1 v2.1.0 内嵌汉化【2.1G】,,汉化,"这是一个以近未来女性成人用品为主题的3DCG循环动画作品。
作品包含8个场景，每个场景由多个角度构成的6段动画组成。
（共计48段动画）

视频可通过附带应用程序直接播放，或直接打开MP4文件进行观看。
您可以根据喜好选择播放方式。
（应用程序附带简短的导入剧情。）

视频原始分辨率为1920*1080（MP4格式、H.264编码、48fps）。

仅H场景配有语音及音效（初始设置为静音）。",https://pic.moebox.io/album/SLG371.Xu64x,https://pan.baidu.com/s/1p6nHOp-JIk8hWJQ4ffA3dw?pwd=uct3,https://pan.xunlei.com/s/VOnrBf3otnIXGq4m_i6V7Ae0A1?pwd=4fr4#,https://drive.uc.cn/s/a7ec380e13054?public=1,"KLW, LW, XH",https://pan.baidu.com/s/1RTWvkMqaARYQw6viHdO-fA?pwd=snu4,,,,,,,,,,,,2026年3月29日 01:42,2026年3月16日 18:26,未开始,【PC+mp4/3D/动态】,Re:MRM-1 v2.1.0 内嵌汉化【2.1G】
BAYJRPG168 (1),[PC+安卓/国产RPG/动态]仙帝再临 Ver1.7 官方中文版+内置作弊[5.9G],,"内置作弊器，可以简单修改，高级功能用不了，作弊码旧版本的不知道能用不
作弊器密码:5124
VIP礼包：36985
开局礼包：199308
N线开启道具密码：131400
","
踏上一场都市奇之旅。在这款角色扮演游戏中，曾经的仙帝意外重生，降临到都市之中。
不仅要面对都市的种种挑战，更要在错综复杂的人际关系中，展现出他超凡的实力与智慧。
在这个世界里，他将遭遇各种装逼打脸的事件，用他前世的无上仙法，一次次惊艳四座，让人瞠目结舌。然而，随着剧情的深入，他也将面临绿帽子的风险，或是自己成为被绿的那一方。
这不仅仅是一场简单的战斗，更是一场关于尊严、爱情与友情的较量。你将跟随仙帝的步伐，探索这个充满奇遇的都市世界，体验他的人生起伏与情感纠葛。准备好了吗？",https://pic.moebox.io/album/RPG168.Xiqh5,https://pan.baidu.com/s/1iIhILPOXPHNY6AMicJxnzA?pwd=p342,https://pan.xunlei.com/s/VOjasjuXBg6zHLNtGO-7Gg9XA1?pwd=9ye8#,https://drive.uc.cn/s/b144a5792b5a4?public=1,"KLW, LW, XH",https://pan.baidu.com/s/190NabK7jh1_q5_qM5w0GWA?pwd=hs6p,,,,,,,,-5,,,,2026年3月28日 21:37,2026年3月27日 20:04,未开始,[PC+安卓/国产RPG/动态],仙帝再临 Ver1.7 官方中文版+内置作弊[5.9G]
BAYJSLG336,[PC/新作SLG/动态/NTL]催眠调教疗法 ～催○調教セラピー ～爆乳W若妻を悦楽で堕とす秘密カルテ～正式版 [480M],,,"游戏简介：

【故事】剥夺理性，将她们染指重塑的禁忌诊疗
远离都市喧嚣的地方，有一间只在深夜开放的小小诊疗室。
造访这里的，是因与丈夫的关系和日常重压而疲惫不堪、以至于夜晚无法成眠的两位人妻。
一位是时刻被要求完美、心力交瘁的精英白领。
另一位是怀抱无处倾诉的身体燥热、外表清纯的年轻妻子。
她们寻求的，并非普通的安眠药，而是能忘却一切的极乐。
在诊察台上，她们的“常识”被催○改写，理性的弦线啪地一声断裂……
直到昨天还应该是“良妻”的她们，渐渐沉沦于“没有你，体内的躁动就无法平息”的快感依赖之中。
充满背德感的秘密诊疗记录，现在开始。

■ 樱井静香
【三围】 B112(N) / W63 / H96
【性格】
清纯且献身的专职主妇。对谁都以大和抚子般的温柔态度待人，但其内心深处隐藏着被压抑的欲望。
【诊断・病情】
▷ 被压抑的性欲求的表层化
因与丈夫的隔阂而产生的爱情饥渴，引发了原因不明的身体燥热。潜在的淫乱性很高，处于稍遇契机理性便会决堤的边缘。
【治疗方案】
▷ 深层调教・快感中毒
将对丈夫的忠诚心改写为快感的香料，将身体的燥热升华为如中毒般的高潮。将清纯的年轻妻子彻底调教为失去理性、持续展露丑态的淫乱患者。

■ 橘凛奈
【三围】 B105(L) / W59 / H88
【性格】
好强且毒舌的精英白领。完美主义导致始终处于紧张状态，对身为医生的玩家起初也持否定态度。
【诊断・病情】
▷ 过度紧张导致的感官迟钝
因完美主义造成的慢性压力，导致身心僵硬。精神上的抗拒反应引发了对夫妻生活的感觉迟钝。
【治疗方案】
▷ 常识改写・快感依赖
用催○剥夺理性，将她的骄傲转化为“对快感的渴望”。将高傲的精英白领彻底改造成没有你体内的躁动就无法平息、陷入快感依赖的患者。

■ 动态像素H动画
H场景以动画演出为中心展开。
请尽情享受静态图片所无法体会的、生动的肉体跃动以及她们的反应。

无需复杂的操作。
每一次点击累积的爱抚，都会让她们的羞耻心逐渐被快感所覆盖。

■ 通过催○改写“常识”
理性逐渐融化，一点点被重塑的人妻们。
像素绘特有的演出，将背德感进一步提升。

两位人妻各自搭载了专用的H动画部分。
从令人焦急的侍奉，到浓密的正式行为。
通过流畅的像素动画，毫无保留地收录她们沉沦时的丑态。

■ W双洞・3P
故事的高潮，是两位人妻在墙壁洞穴中同时进行的侍奉。
通常是以墙壁隔开的视角进行，但本作搭载了能够看到墙壁另一侧的“正面视角”。
不仅能体验看不到脸庞的焦灼感，
她们是以何种丑态在侍奉着你——直至那表情和身体的摇曳，都能仔细鉴赏。",https://pic.moebox.io/album/SLG336.XYK5r,,https://pan.xunlei.com/s/VOmY0swzNwVIHokQFRGawtnKA1?pwd=5rpx,https://drive.uc.cn/s/1f494f9f539c4?public=1,"KLW, LW, XH",https://pan.baidu.com/s/1PxGwQMrjSBIJpsBm_DDQzQ?pwd=54i9,,,,,,,,,,,,2026年3月28日 20:58,2026年2月27日 13:34,未开始,[PC/新作SLG/动态/NTL],cm调校疗法 ～催○调校セラピー ～爆rW若妻を悦楽で堕とす秘密カルテ～正式版 [480M]
BAYJRPG175-3 (1),[PC/RPG/动态/更新/大车]牵着我的手 おててつないで V1.09 AI汉化+存档 [3.2G],,,"更新日志：

• 1.0.9
【随时H&活动H相关】
• 酒池肉林END时，保持精液状态不变与小夏进行一次SEX，再选择进行一次SEX并注视时，发生“Error: Animation not found: p40_stop2_sp”错误。

【活动相关】
• 在艾米丽家中活动结束后，角色仍保持赤脚状态。
• 13日流星群・BBQ活动傍晚，将鱼交给妈妈后，没有结束后HP提升事件。
• 13日夜晚，若以赤脚状态开始吃晚饭，会赤脚去看流星群。
• 夏祭活动开始或中途，即使无法写绘画日记时，图标仍会显示。（按下后图标会消失）
• 20日夜鸣拉面活动时，若不与任何人同行直接睡觉，第二天起一切都会变得异常。
• 戴着美噜美噜眼镜与妈妈去海水浴场时，吃三明治时会变得透明。
• 即使未接受任务9和14，失败事件仍会发生。

【地图相关】
• 地图图标与实际角色的整合性
（8日22点以后的小夏（此时可与透明小夏对话）、19日傍晚的惠、21日白天&傍晚的惠、30日夜晚的夏乃、28日早晨的夏乃、29日白天的惠、26日夜晚的惠、辉夜）
• 周日可从辉夜的房间前往诊疗所。（原本不可前往）
• 27日早晨，由于有猜拳事件，健等人不在秘密基地，但可与透明状态的他们对话。

【其他】
• 错字漏字、禁则处理相关
• 夜晚在河里钓鱼时，使用“高级・最高级”鱼饵会钓不到任何东西。
• 画面左上角有心形标志的阶段，傍晚道别、晚饭、23点事件发生时，心形标志不会消失。
• 从走廊到外面、从厨房到里面时，时间不会流逝。
• 摘取木莓后，菜单中的地图会解锁。（初日傍晚去江藤商店时，若摘取木莓，即使未获得地图也可从菜单打开地图）
• 黑眼蝶的可捕获时间设定为白天～傍晚。（正确应为早晨～傍晚）
• 出售昆虫、鱼时，画面左下方的帮助信息会重叠。
• 随时H的初次说明时，若处于可写绘画日记状态，按下Tab键可写绘画日记；初次说明时，一夏的情况下会显示两次。
• 任务“艾米丽的果酱”的报酬仍为？？？。
• 失败任务的报酬改为？？？。
• 在更衣室松手后，洗衣篮上会显示EV图标。
• 小豆占卜不会提到任务20。
• 保存、加载选择时无法用鼠标点击。
• 25～28日期间，在家中到傍晚时BGM会保持不变。
• 26日傍晚，BBQ来叫人时，若在家中有透明人来叫人。

【调整内容】
• 将由美出现在夏风浜的日期从20日改为22日
• 夜晚的河钓（追加了岩鱼、山女鱼、鲤鱼可钓到）

【变更内容】
• 牵手时的动画原为左手&左手，现改为右手&左手
• 27日傍晚，夏乃事件时可抽签改为不可抽签

【追加内容】
• 29日早晨的小夏事件中原本不会提升爱情度，但其他普通事件时提升爱情度为默认设置，因此追加了爱情度提升。",https://pic.moebox.io/album/RPG175.XkxNY,https://pan.baidu.com/s/1kvca6E3Faxgg3thVoP154Q?pwd=c5eu,https://pan.xunlei.com/s/VOkKbt2cyqt8JYnwmLhh5q7zA1?pwd=rzh5#,https://drive.uc.cn/s/cc840b4404e04?public=1,"KLW, LM, XH","2026年02月06日 BUG修复 内容追加
Ver 1.0.6
v1.0.4更新
【不具合修正内容】
• 修正了2日上午，跳过静的跑腿事件直接进入午间后静会消失的问题。
• 修正了相册张数为0时，选择空白项会导致游戏卡死的问题。
• 修正了18日夜晚，选择不去试胆时，客厅内角色位置异常的问题。
• 修正了使用键盘及XBOX以外控制器时，绘画日记图标不显示的问题。
• 修正了20日夜鸣拉面事件发生时，若处于牵手状态则可能引发异常的问题。非常抱歉，请在松手状态下触发该事件。
• 修正了糖水不会减少的问题。
• 修正了在夏风钱塘边行走时使用快速旅行，会导致“从桥下通过”的标志未解除的问题。
• 修正了牵手状态下可与四位主要女主角一同入睡，但入睡后次日会出现异常的问题。
• 修正了随时亲热经验值增长不一致的问题。
• 修正了随时亲热时Spine显示错误的临时规避措施。
• 修正了牵手状态下在石川书店使用快速旅行，会导致牵手的女主角跟随在后方（重复显示）的问题。
• 修正了特定条件下，8日的绘明信片事件中会触发早餐事件的问题。
• 修正了收集巨乳女孩收藏任务中，无法拾取花田处物品的问题。
• 消除了8月2日森惠事件中事件可能卡住的问题。
• 修正了涂抹糖水后，被传送至其他地点的问题。
• 修正了身处可随时亲热的地点时，进入傍晚后左上角的心形标记不会消失的问题。
• 修正了从选项画面选择“返回标题”后，若按下“否”返回菜单画面，会出现显示异常的问题。
• 修正了小夏揉胸CG（带精液版）显示时，若擦拭精液会导致胸部消失的问题。
• 修正了浴室亲热时，与一夏接吻的镜头中，头发显示为通常发型的问题。
• 修正了28日早晨，选择“想不起来”后，至18:00仍无人来接的问题。
• 修正了无法采集平家萤火虫的问题。
• 修正了培育作物时的异常问题。
【调整内容】
• 调整了钓鱼的难度，以及饵料种类对可钓到鱼类的影响。
• 调整了独角仙的获取几率，使其趋于稳定。
• 加强了游戏手柄的检测精确度。
发售日：2026年01月30日
 
○故事梗概
由于妹妹即将出生，我决定暑假期间前往母亲娘家亲戚“梦咲家”居住的夏风村暂住。
夏风村是个极为偏远的小乡村——
眼前是连绵的田园风光，炽烈的阳光倾泻而下，蝉鸣与暮蝉的虫鸣交织成夏日的交响。
而更重要的是……这里还有一群对我格外热情、既俏皮又充满魅力的姐姐们。
在这为期一个月的暑假里，我将通过“手牵着手”感受到怎样怦然心动的夏日邂逅与悸动呢？
这一切……当然都取决于你的选择。",,SS,,,,,,,,,,2026年3月28日 20:47,2026年3月4日 04:09,未开始,[PC/RPG/动态/更新/大车],牵着我的手 おててつないで V1.06 AI汉化+存档 [3.2G]
BAYJRPG020,【像素ARPG】肉壺村-Bword village-_Ver2.01最终版附存档攻略【70M】,挺涩，就是内容少了点，精巧的小黄油,,,https://pic.moebox.io/album/RPG020.XcerG,https://pan.baidu.com/s/1exPOZjBrNrD7EZ-lQMNFfQ?pwd=BAYJ,https://pan.xunlei.com/s/VOooENgsfyDFvhk-wD63NR2wA1?pwd=d6qn#,https://drive.uc.cn/s/6eabeb63b7b54?public=1,,V1.024更新V2.01,A及格，算是个游戏，好不好看个人喜好，有的人觉得是精品，有的人觉得一般。游戏荒了可以一试,A,,,,,,,,,,2026年3月28日 19:39,2026年2月16日 02:23,未开始,【像素ARPG】,ROU壺村-Bword village-_Ver2.01最终版附存档攻略【70M】
BAYJSLG275,[PC/日式3D/高自由度/新作] 3D!? 自定义撸料制作器 3D!?かすたむオカズメーカー 机翻汉化步兵版[4.3G],,自己动手丰衣足食，拿RT汉化的，还行，基本能看懂,"作品内容
超抜き特化♡ 用理想的3D撸料爽到汁液横流……♡
在支援网站上持续创作色情视频的作者思考道：
“视频只能传达3D魅力的一部分。怎样才能为大家提供最棒的3D撸料呢？”
这个答案，以及对色情的执着所诞生的游戏就是它！

特写、第一人称、固定机位视角随你选择 <高性能色情观看器>

你将化身为摄像机自由移动，实时环视那些色气可爱的女孩，
或是正在被啪啪啪的女孩们。
视角限制？摄像机的移动没有任何限制！
用你独有的构图撸个痛快吧♡
将超级淫荡的即刻开撸时光献给你 <内容量满载的色情场景>

已注册的存档数据有33个！每个存档都包含9个场景（展开、差分等），
总计297个色情场景的超大容量！在一望无际的撸料中，寻找能让你舒舒服服～射爆的场景吧♡
有点硬核和偏门的性癖也不藏着掖着——因为是同人作品所以请谅解
・ 身体涂鸦
・ 足控
・ 乱交
・ 毁灭愿望
・ NTR
・ 精液便女
・ 精液浴
・ 尺寸控
・ 手办颜射
・ 精液罐
・ 淋尿
・ 异种奸
・ 囫囵吞食
・ 兽耳奸
・ 飞机杯化
开发时的名称是「精液浴模拟器」 <液体模拟>

用尖端的物理流体模拟把女孩弄得黏糊糊脏兮兮吧！
一边抚摸侵犯女孩的脸庞和身体，一边黏糊糊地滴落下来……♡
通过颜色、粘度、密度等多种参数，可以实现特浓发黄精液浇灌，
或是调成清亮透明的液体来再现淋尿便姫！
还能真实地混合两种液体！超厉害！不过有点吃性能！
超越自定义系色情游戏的极限……！ <超强编辑功能>

本游戏的所有色情场景，都是用『游戏内置的』编辑功能从零开始制作的。请看演示视频。
这意味着，你可以遵循自己胯下的意志，创造出超越作者的、惊人的无限色情场景。大爆炸。

・ 自定义脸型、发型、肤色、化妆、兽耳、角、体格、服装、颜射/涂污、涂鸦元素等（根据条件，外观可能有时会崩坏）。
　组合总数？不知道
・ 用IK摆出你喜欢的姿势。就像活的人偶一样♡ 让♂模型摆动腰部靠近♀模型，看啊多神奇，做爱！！！！！
・ 粗野脉动的鸡巴！虽然马赛克看不太清，但连包皮也能调整的真实感鸡巴。鸡巴之力。
・ 可以调用超过2000种多样的场景和小物件的3D模型！
　甚至还实现了尺寸变更、贴图替换功能！任凭创造力发挥，再现你喜欢的场景吧！
・ 耳边回响的色气。收录了兎月りりむ様的娇喘语音！黏腻水声、啪啪声等也能自由定制！
・ 可自由移动并实时生效的灯光功能。从色情的粉红空间，到魔物潜藏的漆黑一片，都能艳丽、滑腻地照亮女体。
・ 液体模拟的位置和量也可控制。也能玩史莱姆哦！
・ 所有3D模型的位置信息、参数都可以随时间进行动画设置。
　动作、表情变化、体格变化等也完全自由！
・ 准备了大量预设。即使从零开始制作很困难，也能一键设置姿势、外观甚至体位！也能创建自己的预设！
　预设文件会输出到游戏文件夹下。可以用Windows资源管理器进行整理。
・ 所有这些编辑都可以实时操作，一键即可与观看模式切换。制作过程中胯下难耐时也能安心♡


♡ 注意事项 ♡
！！请务必用体验版确认运行情况！！
为了自己使用，即使会有点吃性能，也绝不妥协地加入了各种功能。
图形负荷较高，请务必通过体验版确认运行情况，在认可后再购买。
・ 体验版可以试用部分色情场景和编辑模式的所有功能。
・ 因为编辑模式什么都能做，所以女体的纹理上会带有”体验版”字样。
・ 创建的存档数据和预设可以在正式版中使用。
・ 如果液体模拟负荷过高，可以在ESC菜单中关闭该功能。",https://pic.moebox.io/album/SLG275.XmTxY,,"https://pan.xunlei.com/s/VOhuEzeWAeDr-z90WxaxnG3mA1?pwd=5kwp#
",https://drive.uc.cn/s/97b843a8a7da4?public=1,"KLW, LW, XH",https://pan.baidu.com/s/1l3DhFU0N4bqYqgdZbDjkjQ?pwd=87yh,,,,,,,,,,,,2026年3月28日 02:57,2026年2月16日 02:23,未开始,"[PC/日式3D/高自由度/新作] ",3D!? 自定义配菜制作器 3D!?かすたむオカズメーカー 机翻汉化步兵版[4.3G]
BAYJSLG065-1,[PC/卡牌SLG/动态/更新]淫魔再诞SuccubusReborn v20260225a RT汉化支援版【3G】,H版游戏王，个人挺喜欢的,[H版游戏王],"更新日志：
v20260225a
热情兔女郎：新增版本插图和胸推场景在Milker Edit卡片图片的右上角有一个按钮，可用于切换版本。生成牌组时，角色的新版本将作为默认设置。除本地牌组外，对手角色的版本将由设置决定。战斗设置 -> 对手精子采集器模型版本最新：始终为新版本最终选择：采集器编辑器中最后编辑的版本随机：随机决定其他改动：“信任与愤怒的梦魇”现在，您可以在诱惑场景中切换屏障显示。带有插图的标准卡牌现在会显示卡牌名称。‘和平与盲从的梦魇’和‘纪律与严厉的梦魇’修复了一个问题：控制对方伙伴时不会触发伙伴效果。
v20260127b
・修复内容如下：
《黑铁与我欲的淫魔》
　- 修复成为守护者时卡牌被误弃置的问题
　- 修复使用 CP 时发生错误的问题
v20260127a
新加入的精子挤压场景74种基础类型，80个场景『温柔的占卜师』新卡牌插图
v20251029a
新增卡牌插画：背信的女妖。
新增卡牌：真名。6 费不稳定天使，奇迹牌。选择对手场上的一张卡牌，获得其控制权。
现在在编辑菜单预览合作场景时，你可以更改另一方的颜色。
新增了战斗时随机选择卡组的设置。",https://pic.moebox.io/album/SLG065.XYJH1/?sort=date_asc&page=1,https://pan.baidu.com/s/1F4mkJZv_sSA29xMeffCQvQ?pwd=kirv,https://pan.xunlei.com/s/VOmSLfptymZhHsROp5EJ_H-0A1?pwd=e6kc#,https://drive.uc.cn/s/d02977c75b294?public=1,"KLW, XH",,SS精品，绝对值得品鉴,SS 80,25,20,5,15+5,10,,,,,2026年3月28日 02:50,2026年2月26日 20:45,未开始,[PC/卡牌SLG/动态/更新],银魔再诞SuccubusReborn v20260225a RT汉化支援版【3G】
BAYJSLG375 (1),[PC/互动SLG/动态/更新]色欲出口 Exit Lust v1.14 官中步兵版带全回想 [3.8G],,,"v1.1.4 成就系统上线
新增 29 项成就。
v1.1.2
在设置中添加了文本播放速度的“ALL”选项。
在与普通办公室女士启动H场景之前，添加了故障安全确认。
英语翻译修复。
v1.1.1 优化游戏流程
每当发生意外被送回第 0 关时，不会再次显示第 0 关的自言自语，加速游戏流程。
V1.1.0 增加女角喘息、呻吟声
所有女角H演出增加喘息、呻吟声
现在可以从设置页面调整人声音量
现在可以从设置页面调整文字播放速度
现在可以从设置页面调整 [Ctrl] 跳过演出的速度
v1.0.7 单手游玩模式上线，让另一只手做该做的事
互动-[鼠标右键]
移动-[按住鼠标左键]
加速-[鼠标中键]
隐藏/显示-[鼠标右键]

·游戏介绍·
你受困于一条无尽的地下通道之中。请仔细观察周遭环境，以抵达「色欲出口」。
『实验开始』
『实验体寻找空间内的异变』
『若发现异变，请与异常发生性行为将其排除』
『编号0为无异变对照组，一轮实验为10组』

游戏玩法
在空间内搜索异变。若发现异变，请与其进行性行为以消除该异变。
游戏特色
全动态色情场景：流畅的 2D 动画 H 场景，每一场都充满了激烈的高潮。

丰富的异变收集要素：收录超过 27 种色气满点的异变。",https://pic.moebox.io/album/SLG375.XDOXk,https://pan.baidu.com/s/1_LtCslhKdXUra3CZhoCCCQ?pwd=nu28,https://pan.xunlei.com/s/VOokQG_06bV9-K-BJnMHEsTeA1?pwd=pykm#,https://drive.uc.cn/s/d9456a01f4934?public=1,"KLW, LW, XH",https://pan.baidu.com/s/15y3Uc8UxxUjGPgeVnq1oDQ?pwd=ihgv,,,,,,,,,,,,2026年3月28日 01:56,2026年3月26日 01:13,未开始,[PC/互动SLG/动态/更新],色域出口 Exit Lust v1.14 官中步兵版带全回想 [3.8G]
BAYJACT022,【ACT/官中/伪娘】女体化装置 女体化设备 女体化デバイス FeminizationDevice_Ver.0.6 【920M】,前作是那个女装侦探王语嫣，一如既往游戏性和操作差，但剧情cg很顶,,"更新信息
• 2025年02月04日BUG修复内容添加版本0.6新增物品，鼠标光标变化，敌人死亡复苏动画，增加传递同伴的能力
• 2025年1月14日BUG修复内容添加版本0.5 新增魔戒远征 加入伙伴系统 交换兔女郎声望换金版智能手机界面修复
• 2025年1月4日BUG修复内容添加版本0.4兔女郎/网丝袜/穿刺子弹增加了绳索修正地图修正功能，加载最新版本时无法穿透敌人
• 2024年12月20日BUG修复内容添加版本0.3“解放城镇” 结局新增红色区域速度抑制跳过获取新物品 新增“停战协议”
游戏介绍
在这个游戏中，玩家将扮演男娘战姬，挑战与魔界生物的战斗，执行各种任务以恢复人类的和平。
20XX 年，全长 300 米的巨大淫兽“巨塔”从海中登陆人类城市，全身释放出强烈的毒性淫气，污染了空气。
淫毒导致男性陷入发情状态，失去理智开始施暴。在无防御手段的情况下，一年后，“战姬协会”成立。
该组织的女性战士们身着战斗服得到强化，对抗淫兽。她们讨伐了众多淫兽，夺回了城市。",https://pic.moebox.io/album/ACT022.XDn5N,https://pan.baidu.com/s/1dOAxTVbyxEc11KyS-dOQxg?pwd=kedp,https://pan.xunlei.com/s/VOokC-b0nv8hNgI0nu6KxoAgA1?pwd=vzsy#,https://drive.uc.cn/s/4a0b2a5ef4d04?public=1,,Ver0.2 2024/12/13   Ver.0.6  2025/2/4,SS精品，绝对值得品鉴,SS 80,25,25,10,10,10,,,,"サークル：FT少女
DLsite ：https://www.dlsite.com/maniax/circle/profile/=/maker_id/RG54260.html
CIEN：https://ci-en.dlsite.com/creator/16247
Twitter：https://x.com/Detective_ye
Pixiv：https://www.pixiv.net/users/38416908",2026年3月28日 01:15,2026年2月16日 02:23,未开始,【ACT/官中/伪娘】,女体化装置 女体化设备 女体化デバイス FeminizationDevice_Ver.0.6 【919M】
